instance ss cost time
uf250-01.cnf 0 0 0.00787754
uf250-01.cnf 1 0 0.084082
uf250-010.cnf 0 0 0.0129693
uf250-010.cnf 1 0 0.0841373
uf250-0100.cnf 0 0 0.00428339
uf250-0100.cnf 1 0 0.750944
uf250-011.cnf 0 0 0.201614
uf250-011.cnf 1 0 0.112713
uf250-012.cnf 0 0 0.00168496
uf250-012.cnf 1 0 0.0757144
uf250-013.cnf 0 0 0.0351088
uf250-013.cnf 1 0 1.28959
uf250-014.cnf 0 0 0.0147555
uf250-014.cnf 1 0 1.289
uf250-015.cnf 0 0 0.00301615
uf250-015.cnf 1 0 0.807774
uf250-016.cnf 0 0 0.00210816
uf250-016.cnf 1 0 0.0713607
uf250-017.cnf 0 0 0.00450942
uf250-017.cnf 1 0 0.0715173
uf250-018.cnf 0 0 0.0112801
uf250-018.cnf 1 0 3.06051
uf250-019.cnf 0 0 0.00207321
uf250-019.cnf 1 0 0.0685626
uf250-02.cnf 0 0 0.0276325
uf250-02.cnf 1 0 0.455891
uf250-020.cnf 0 0 0.00255574
uf250-020.cnf 1 0 0.108584
uf250-021.cnf 0 0 0.00262848
uf250-021.cnf 1 0 0.0736314
uf250-022.cnf 0 0 2.66574
uf250-022.cnf 1 0 1.88492
uf250-023.cnf 0 0 0.0661599
uf250-023.cnf 1 0 0.116185
uf250-024.cnf 0 0 0.0204827
uf250-024.cnf 1 0 0.0804579
uf250-025.cnf 0 0 0.00708254
uf250-025.cnf 1 0 0.0828036
uf250-026.cnf 0 0 0.0603681
uf250-026.cnf 1 1 20.0002
uf250-027.cnf 0 0 0.177177
uf250-027.cnf 1 0 3.49581
uf250-028.cnf 0 0 0.0170969
uf250-028.cnf 1 0 1.33941
uf250-029.cnf 0 0 0.158116
uf250-029.cnf 1 0 7.14484
uf250-03.cnf 0 0 0.314915
uf250-03.cnf 1 0 0.11378
uf250-030.cnf 0 0 0.00907565
uf250-030.cnf 1 0 0.900383
uf250-031.cnf 0 0 0.809429
uf250-031.cnf 1 0 3.61266
uf250-032.cnf 0 0 0.00875335
uf250-032.cnf 1 0 0.0837799
uf250-033.cnf 0 0 0.0054392
uf250-033.cnf 1 0 0.229918
uf250-034.cnf 0 0 0.101404
uf250-034.cnf 1 0 2.41608
uf250-035.cnf 0 0 0.00250449
uf250-035.cnf 1 0 0.0752044
uf250-036.cnf 0 0 0.0154234
uf250-036.cnf 1 0 1.33853
uf250-037.cnf 0 0 0.00393384
uf250-037.cnf 1 0 0.0759622
uf250-038.cnf 0 0 0.0434055
uf250-038.cnf 1 0 0.199029
uf250-039.cnf 0 0 0.0111319
uf250-039.cnf 1 0 0.0729689
uf250-04.cnf 0 0 0.00274753
uf250-04.cnf 1 0 0.0714586
uf250-040.cnf 0 0 0.00573264
uf250-040.cnf 1 0 0.0847736
uf250-041.cnf 0 0 0.00478868
uf250-041.cnf 1 0 0.118474
uf250-042.cnf 0 0 0.0327608
uf250-042.cnf 1 0 0.766694
uf250-043.cnf 0 0 0.00593359
uf250-043.cnf 1 0 1.83861
uf250-044.cnf 0 0 0.0158385
uf250-044.cnf 1 0 1.96865
uf250-045.cnf 0 0 0.0274252
uf250-045.cnf 1 1 20.0002
uf250-046.cnf 0 0 0.0147783
uf250-046.cnf 1 0 0.73702
uf250-047.cnf 0 0 0.0120992
uf250-047.cnf 1 0 0.0921767
uf250-048.cnf 0 0 0.017767
uf250-048.cnf 1 0 0.0870126
uf250-049.cnf 0 0 0.00547701
uf250-049.cnf 1 0 0.117162
uf250-05.cnf 0 0 0.102046
uf250-05.cnf 1 0 0.0742213
uf250-050.cnf 0 0 0.0191174
uf250-050.cnf 1 0 2.38052
uf250-051.cnf 0 0 0.00428494
uf250-051.cnf 1 0 1.30701
uf250-052.cnf 0 0 0.0063062
uf250-052.cnf 1 0 0.0741523
uf250-053.cnf 0 0 0.0892757
uf250-053.cnf 1 0 1.21621
uf250-054.cnf 0 0 0.495156
uf250-054.cnf 1 1 20.0002
uf250-055.cnf 0 0 0.0195419
uf250-055.cnf 1 0 0.75534
uf250-056.cnf 0 0 0.00273321
uf250-056.cnf 1 0 2.18876
uf250-057.cnf 0 0 0.0218588
uf250-057.cnf 1 0 0.0731051
uf250-058.cnf 0 0 0.108767
uf250-058.cnf 1 0 1.87118
uf250-059.cnf 0 0 0.00383542
uf250-059.cnf 1 0 1.315
uf250-06.cnf 0 0 0.00723664
uf250-06.cnf 1 0 0.0724757
uf250-060.cnf 0 0 0.00253698
uf250-060.cnf 1 0 0.0752182
uf250-061.cnf 0 0 0.0103851
uf250-061.cnf 1 0 0.0726535
uf250-062.cnf 0 0 0.010072
uf250-062.cnf 1 0 2.34911
uf250-063.cnf 0 0 0.00905554
uf250-063.cnf 1 0 0.0729047
uf250-064.cnf 0 0 0.00403877
uf250-064.cnf 1 0 0.0752277
uf250-065.cnf 0 0 0.0148871
uf250-065.cnf 1 0 0.973548
uf250-066.cnf 0 0 0.00993299
uf250-066.cnf 1 0 0.834249
uf250-067.cnf 0 0 0.00305819
uf250-067.cnf 1 0 0.0730949
uf250-068.cnf 0 0 0.00485434
uf250-068.cnf 1 0 0.0754422
uf250-069.cnf 0 0 0.00236401
uf250-069.cnf 1 0 0.0769284
uf250-07.cnf 0 0 0.626091
uf250-07.cnf 1 0 0.0983625
uf250-070.cnf 0 0 0.00851834
uf250-070.cnf 1 0 0.0788184
uf250-071.cnf 0 0 0.0168893
uf250-071.cnf 1 0 2.46837
uf250-072.cnf 0 0 0.024845
uf250-072.cnf 1 0 0.22126
uf250-073.cnf 0 0 0.00521565
uf250-073.cnf 1 0 0.0834876
uf250-074.cnf 0 0 0.00218238
uf250-074.cnf 1 0 0.0677407
uf250-075.cnf 0 0 0.0142128
uf250-075.cnf 1 0 0.0820855
uf250-076.cnf 0 0 0.0104044
uf250-076.cnf 1 1 20.0002
uf250-077.cnf 0 0 0.0149823
uf250-077.cnf 1 0 0.0682563
uf250-078.cnf 0 0 0.00857838
uf250-078.cnf 1 0 0.785062
uf250-079.cnf 0 0 0.0459052
uf250-079.cnf 1 0 0.767761
uf250-08.cnf 0 0 0.0033029
uf250-08.cnf 1 0 0.073373
uf250-080.cnf 0 0 0.00500785
uf250-080.cnf 1 0 0.0869819
uf250-081.cnf 0 0 0.00642773
uf250-081.cnf 1 0 0.153033
uf250-082.cnf 0 0 0.00435823
uf250-082.cnf 1 0 0.0839678
uf250-083.cnf 0 0 0.00301133
uf250-083.cnf 1 0 1.32115
uf250-084.cnf 0 0 0.00951085
uf250-084.cnf 1 0 0.100085
uf250-085.cnf 0 0 0.0119465
uf250-085.cnf 1 0 0.083896
uf250-086.cnf 0 0 0.125798
uf250-086.cnf 1 1 20.0003
uf250-087.cnf 0 0 0.0134148
uf250-087.cnf 1 0 0.103737
uf250-088.cnf 0 0 0.0275957
uf250-088.cnf 1 0 0.108814
uf250-089.cnf 0 0 0.00866901
uf250-089.cnf 1 0 0.067944
uf250-09.cnf 0 0 0.00642698
uf250-09.cnf 1 0 0.0727488
uf250-090.cnf 0 0 0.019812
uf250-090.cnf 1 0 0.50872
uf250-091.cnf 0 0 0.00363057
uf250-091.cnf 1 0 0.0780381
uf250-092.cnf 0 0 0.00287085
uf250-092.cnf 1 0 0.0741837
uf250-093.cnf 0 0 0.06164
uf250-093.cnf 1 0 1.62153
uf250-094.cnf 0 0 0.110337
uf250-094.cnf 1 0 0.100662
uf250-095.cnf 0 0 0.0030525
uf250-095.cnf 1 0 0.0745335
uf250-096.cnf 0 0 0.00303079
uf250-096.cnf 1 0 0.077898
uf250-097.cnf 0 0 0.0457972
uf250-097.cnf 1 0 0.0757624
uf250-098.cnf 0 0 0.00410618
uf250-098.cnf 1 0 0.0889689
uf250-099.cnf 0 0 0.0168735
uf250-099.cnf 1 0 3.57886
