instance p cost time
uf250-01.cnf 0.1 0 0.0543075
uf250-01.cnf 0.2 0 0.0527625
uf250-01.cnf 0.3 0 0.00788433
uf250-01.cnf 0.4 0 0.00320606
uf250-01.cnf 0.5 0 0.00220725
uf250-01.cnf 0.6 0 0.00386497
uf250-01.cnf 0.7 0 0.00277215
uf250-01.cnf 0.8 0 0.0720306
uf250-01.cnf 0.9 0 3.07401
uf250-010.cnf 0.1 0 1.77121
uf250-010.cnf 0.2 0 1.3142
uf250-010.cnf 0.3 0 0.0467411
uf250-010.cnf 0.4 0 0.0134333
uf250-010.cnf 0.5 0 0.00465678
uf250-010.cnf 0.6 0 0.00518006
uf250-010.cnf 0.7 0 0.030474
uf250-010.cnf 0.8 0 0.0333563
uf250-010.cnf 0.9 21 20.0002
uf250-0100.cnf 0.1 0 13.3109
uf250-0100.cnf 0.2 0 0.283699
uf250-0100.cnf 0.3 0 0.530109
uf250-0100.cnf 0.4 0 0.344844
uf250-0100.cnf 0.5 0 0.00990712
uf250-0100.cnf 0.6 0 0.0124534
uf250-0100.cnf 0.7 0 0.262788
uf250-0100.cnf 0.8 6 20.0001
uf250-0100.cnf 0.9 17 20.0003
uf250-011.cnf 0.1 0 5.64583
uf250-011.cnf 0.2 0 0.721673
uf250-011.cnf 0.3 0 0.859555
uf250-011.cnf 0.4 0 0.27794
uf250-011.cnf 0.5 0 0.0601433
uf250-011.cnf 0.6 0 0.0334974
uf250-011.cnf 0.7 0 5.02063
uf250-011.cnf 0.8 8 20.0001
uf250-011.cnf 0.9 19 20.0002
uf250-012.cnf 0.1 0 0.0667617
uf250-012.cnf 0.2 0 0.011279
uf250-012.cnf 0.3 0 0.0436356
uf250-012.cnf 0.4 0 0.0134311
uf250-012.cnf 0.5 0 0.00435791
uf250-012.cnf 0.6 0 0.00326419
uf250-012.cnf 0.7 0 0.00582936
uf250-012.cnf 0.8 0 0.123238
uf250-012.cnf 0.9 20 20.0002
uf250-013.cnf 0.1 0 0.21363
uf250-013.cnf 0.2 0 0.0459712
uf250-013.cnf 0.3 0 0.1933
uf250-013.cnf 0.4 0 0.143068
uf250-013.cnf 0.5 0 0.00429656
uf250-013.cnf 0.6 0 0.0211291
uf250-013.cnf 0.7 0 0.0207856
uf250-013.cnf 0.8 0 9.91181
uf250-013.cnf 0.9 23 20.0002
uf250-014.cnf 0.1 0 0.66891
uf250-014.cnf 0.2 0 0.324559
uf250-014.cnf 0.3 0 0.00370936
uf250-014.cnf 0.4 0 0.0027315
uf250-014.cnf 0.5 0 0.00931947
uf250-014.cnf 0.6 0 0.00495942
uf250-014.cnf 0.7 0 0.00991105
uf250-014.cnf 0.8 0 3.6366
uf250-014.cnf 0.9 21 20.0002
uf250-015.cnf 0.1 0 0.454021
uf250-015.cnf 0.2 0 0.0132201
uf250-015.cnf 0.3 0 0.0788374
uf250-015.cnf 0.4 0 0.00564966
uf250-015.cnf 0.5 0 0.00456743
uf250-015.cnf 0.6 0 0.00219706
uf250-015.cnf 0.7 0 0.0141456
uf250-015.cnf 0.8 0 1.28642
uf250-015.cnf 0.9 0 2.59485
uf250-016.cnf 0.1 0 0.0421647
uf250-016.cnf 0.2 0 0.0390383
uf250-016.cnf 0.3 0 0.0117604
uf250-016.cnf 0.4 0 0.0125448
uf250-016.cnf 0.5 0 0.00221029
uf250-016.cnf 0.6 0 0.00413262
uf250-016.cnf 0.7 0 0.0038055
