instance p cost time
uuf250-01.cnf 0.1 1 1.08342
uuf250-01.cnf 0.2 1 0.0861704
uuf250-01.cnf 0.3 1 0.00761785
uuf250-01.cnf 0.4 1 0.00649624
uuf250-01.cnf 0.5 1 0.00439584
uuf250-01.cnf 0.6 1 0.00454018
uuf250-01.cnf 0.7 1 0.0254519
uuf250-01.cnf 0.8 1 18.6899
uuf250-01.cnf 0.9 19 20.0002
uuf250-010.cnf 0.1 1 0.389542
uuf250-010.cnf 0.2 1 0.0936755
uuf250-010.cnf 0.3 1 0.00220431
uuf250-010.cnf 0.4 1 0.0159793
uuf250-010.cnf 0.5 1 0.0222422
uuf250-010.cnf 0.6 1 0.00188447
uuf250-010.cnf 0.7 1 0.051712
uuf250-010.cnf 0.8 13 20.0002
uuf250-010.cnf 0.9 17 20.0004
uuf250-0100.cnf 0.1 1 0.0995865
uuf250-0100.cnf 0.2 1 0.314501
uuf250-0100.cnf 0.3 1 0.00767259
uuf250-0100.cnf 0.4 1 0.0164324
uuf250-0100.cnf 0.5 1 0.0147131
uuf250-0100.cnf 0.6 1 0.010567
uuf250-0100.cnf 0.7 1 0.786814
uuf250-0100.cnf 0.8 12 20.0003
uuf250-0100.cnf 0.9 23 20.0003
uuf250-011.cnf 0.1 1 1.03319
uuf250-011.cnf 0.2 1 0.0346263
uuf250-011.cnf 0.3 1 0.0452462
uuf250-011.cnf 0.4 1 0.0179139
uuf250-011.cnf 0.5 1 0.0101349
uuf250-011.cnf 0.6 1 0.00767275
uuf250-011.cnf 0.7 1 0.00917689
uuf250-011.cnf 0.8 14 20.0002
uuf250-011.cnf 0.9 24 20.0002
uuf250-012.cnf 0.1 1 0.14617
uuf250-012.cnf 0.2 1 0.181258
uuf250-012.cnf 0.3 1 0.00213719
uuf250-012.cnf 0.4 1 0.00589902
uuf250-012.cnf 0.5 1 0.00301651
uuf250-012.cnf 0.6 1 0.00624309
uuf250-012.cnf 0.7 1 0.0260742
uuf250-012.cnf 0.8 1 4.96913
uuf250-012.cnf 0.9 20 20.0002
uuf250-013.cnf 0.1 3 20.0002
uuf250-013.cnf 0.2 3 20.0002
uuf250-013.cnf 0.3 3 20.0002
uuf250-013.cnf 0.4 3 20.0002
uuf250-013.cnf 0.5 3 20.0002
uuf250-013.cnf 0.6 4 20.0003
uuf250-013.cnf 0.7 8 20.0003
uuf250-013.cnf 0.8 21 20.0003
uuf250-013.cnf 0.9 30 20.0002
uuf250-014.cnf 0.1 1 0.443559
uuf250-014.cnf 0.2 1 0.115958
uuf250-014.cnf 0.3 1 0.0770647
uuf250-014.cnf 0.4 1 0.0497022
uuf250-014.cnf 0.5 1 0.0082964
uuf250-014.cnf 0.6 1 0.00372333
uuf250-014.cnf 0.7 1 0.191077
uuf250-014.cnf 0.8 1 2.36316
uuf250-014.cnf 0.9 20 20.0003
uuf250-015.cnf 0.1 1 0.30421
uuf250-015.cnf 0.2 1 0.170308
uuf250-015.cnf 0.3 1 0.0407391
uuf250-015.cnf 0.4 1 0.00491938
uuf250-015.cnf 0.5 1 0.00658513
uuf250-015.cnf 0.6 1 0.00689646
uuf250-015.cnf 0.7 1 0.0637084
uuf250-015.cnf 0.8 1 9.6694
uuf250-015.cnf 0.9 19 20.0002
uuf250-016.cnf 0.1 2 20.0003
uuf250-016.cnf 0.2 2 20.0002
uuf250-016.cnf 0.3 2 20.0003
uuf250-016.cnf 0.4 2 20.0002
uuf250-016.cnf 0.5 2 20.0002
uuf250-016.cnf 0.6 2 20.0002
uuf250-016.cnf 0.7 5 20.0002
uuf250-016.cnf 0.8 14 20.0003
uuf250-016.cnf 0.9 27 20.0002
uuf250-017.cnf 0.1 1 1.56829
uuf250-017.cnf 0.2 1 0.0044177
uuf250-017.cnf 0.3 1 0.0113998
uuf250-017.cnf 0.4 1 0.0197148
uuf250-017.cnf 0.5 1 0.00365629
uuf250-017.cnf 0.6 1 0.0132385
uuf250-017.cnf 0.7 1 0.0263695
uuf250-017.cnf 0.8 11 20.0003
uuf250-017.cnf 0.9 24 20.0003
uuf250-018.cnf 0.1 1 0.153006
uuf250-018.cnf 0.2 1 0.139087
uuf250-018.cnf 0.3 1 0.0103512
uuf250-018.cnf 0.4 1 0.00507226
uuf250-018.cnf 0.5 1 0.00988416
uuf250-018.cnf 0.6 1 0.0101832
uuf250-018.cnf 0.7 1 0.0415924
uuf250-018.cnf 0.8 11 20.0002
uuf250-018.cnf 0.9 21 20.0002
uuf250-019.cnf 0.1 1 0.428803
uuf250-019.cnf 0.2 1 0.125996
uuf250-019.cnf 0.3 1 0.00712767
uuf250-019.cnf 0.4 1 0.00584249
uuf250-019.cnf 0.5 1 0.00596036
uuf250-019.cnf 0.6 1 0.00613758
uuf250-019.cnf 0.7 1 0.0516219
uuf250-019.cnf 0.8 1 7.86573
uuf250-019.cnf 0.9 21 20.0002
uuf250-02.cnf 0.1 2 20.0002
uuf250-02.cnf 0.2 2 20.0003
uuf250-02.cnf 0.3 2 20.0001
uuf250-02.cnf 0.4 2 20.0003
uuf250-02.cnf 0.5 3 20.0002
uuf250-02.cnf 0.6 4 20.0003
uuf250-02.cnf 0.7 11 20.0002
uuf250-02.cnf 0.8 16 20.0002
uuf250-02.cnf 0.9 17 20.0002
uuf250-020.cnf 0.1 1 1.89145
uuf250-020.cnf 0.2 1 0.242148
uuf250-020.cnf 0.3 1 0.447206
uuf250-020.cnf 0.4 1 0.337537
uuf250-020.cnf 0.5 1 0.0276924
uuf250-020.cnf 0.6 1 0.224161
uuf250-020.cnf 0.7 1 1.02694
uuf250-020.cnf 0.8 13 20.0002
uuf250-020.cnf 0.9 21 20.0002
uuf250-021.cnf 0.1 1 0.128269
uuf250-021.cnf 0.2 1 0.0036604
uuf250-021.cnf 0.3 1 0.00248144
uuf250-021.cnf 0.4 1 0.00785155
uuf250-021.cnf 0.5 1 0.00517734
uuf250-021.cnf 0.6 1 0.00297131
uuf250-021.cnf 0.7 1 0.0198447
uuf250-021.cnf 0.8 1 0.0773345
uuf250-021.cnf 0.9 17 20.0002
uuf250-022.cnf 0.1 1 0.502788
uuf250-022.cnf 0.2 1 0.276736
uuf250-022.cnf 0.3 1 0.142907
uuf250-022.cnf 0.4 1 0.129849
uuf250-022.cnf 0.5 1 0.0104615
uuf250-022.cnf 0.6 1 0.00641821
uuf250-022.cnf 0.7 1 0.458158
uuf250-022.cnf 0.8 14 20.0002
uuf250-022.cnf 0.9 21 20.0003
uuf250-023.cnf 0.1 1 0.34721
uuf250-023.cnf 0.2 1 0.0689785
uuf250-023.cnf 0.3 1 0.111725
uuf250-023.cnf 0.4 1 0.0267832
uuf250-023.cnf 0.5 1 0.0161698
uuf250-023.cnf 0.6 1 0.0466999
uuf250-023.cnf 0.7 1 1.49579
uuf250-023.cnf 0.8 15 20.0003
uuf250-023.cnf 0.9 23 20.0003
uuf250-024.cnf 0.1 1 0.461248
uuf250-024.cnf 0.2 1 0.0583663
uuf250-024.cnf 0.3 1 0.00791993
uuf250-024.cnf 0.4 1 0.0229936
uuf250-024.cnf 0.5 1 0.00276803
uuf250-024.cnf 0.6 1 0.00401
uuf250-024.cnf 0.7 1 0.0631931
uuf250-024.cnf 0.8 1 0.872517
uuf250-024.cnf 0.9 24 20.0002
uuf250-025.cnf 0.1 1 0.932255
uuf250-025.cnf 0.2 1 0.032308
uuf250-025.cnf 0.3 1 0.00597885
uuf250-025.cnf 0.4 1 0.00321906
uuf250-025.cnf 0.5 1 0.0087478
uuf250-025.cnf 0.6 1 0.00794152
uuf250-025.cnf 0.7 1 0.00268833
uuf250-025.cnf 0.8 1 4.22775
uuf250-025.cnf 0.9 20 20.0002
uuf250-026.cnf 0.1 1 0.834517
uuf250-026.cnf 0.2 1 1.00812
uuf250-026.cnf 0.3 1 0.0044757
uuf250-026.cnf 0.4 1 0.154216
